IUCN,SPEC,COU,Value
CRITICAL,MAMMAL,PRT,11
VULNERABLE,MAMMAL,PRT,13
THREATENED,MAMMAL,PRT,31
ENDANGERED_IND,MAMMAL,PRT,7
CRITICAL_IND,MAMMAL,PRT,11
VULNERABLE_IND,MAMMAL,PRT,13
TOT_KNOWN,MAMMAL,SVK,90
TOT_KNOWN_IND,MAMMAL,SVK,85
ENDANGERED,MAMMAL,SVK,6
CRITICAL,MAMMAL,SVK,2
VULNERABLE,MAMMAL,SVK,12
THREATENED,MAMMAL,SVK,20
ENDANGERED_IND,MAMMAL,SVK,6
CRITICAL_IND,MAMMAL,SVK,2
VULNERABLE_IND,MAMMAL,SVK,12
TOT_KNOWN,MAMMAL,ESP,114
ENDANGERED,MAMMAL,ESP,4
CRITICAL,MAMMAL,ESP,2
VULNERABLE,MAMMAL,ESP,13
THREATENED,MAMMAL,ESP,19
ENDANGERED_IND,MAMMAL,ESP,4
CRITICAL_IND,MAMMAL,ESP,2
VULNERABLE_IND,MAMMAL,ESP,13
TOT_KNOWN,MAMMAL,SWE,65
TOT_KNOWN_IND,MAMMAL,SWE,65
ENDANGERED,MAMMAL,SWE,3
CRITICAL,MAMMAL,SWE,5
VULNERABLE,MAMMAL,SWE,6
THREATENED,MAMMAL,SWE,14
ENDANGERED_IND,MAMMAL,SWE,3
CRITICAL_IND,MAMMAL,SWE,5
VULNERABLE_IND,MAMMAL,SWE,6
TOT_KNOWN,MAMMAL,CHE,93
TOT_KNOWN_IND,MAMMAL,CHE,81
ENDANGERED,MAMMAL,CHE,13
CRITICAL,MAMMAL,CHE,5
VULNERABLE,MAMMAL,CHE,16
THREATENED,MAMMAL,CHE,34
ENDANGERED_IND,MAMMAL,CHE,13
CRITICAL_IND,MAMMAL,CHE,5
VULNERABLE_IND,MAMMAL,CHE,16
TOT_KNOWN,MAMMAL,TUR,161
THREATENED,MAMMAL,TUR,23
TOT_KNOWN,MAMMAL,GBR,99
ENDANGERED,MAMMAL,GBR,4
CRITICAL,MAMMAL,GBR,2
VULNERABLE,MAMMAL,GBR,5
THREATENED,MAMMAL,GBR,11
ENDANGERED_IND,MAMMAL,GBR,4
CRITICAL_IND,MAMMAL,GBR,2
VULNERABLE_IND,MAMMAL,GBR,5
TOT_KNOWN,MAMMAL,USA,453
TOT_KNOWN_IND,MAMMAL,USA,428
ENDANGERED,MAMMAL,USA,16
CRITICAL,MAMMAL,USA,13
VULNERABLE,MAMMAL,USA,49
THREATENED,MAMMAL,USA,78
ENDANGERED_IND,MAMMAL,USA,16
CRITICAL_IND,MAMMAL,USA,13
VULNERABLE_IND,MAMMAL,USA,47
TOT_KNOWN,MAMMAL,CHL,175
TOT_KNOWN_IND,MAMMAL,CHL,162
ENDANGERED,MAMMAL,CHL,13
VULNERABLE,MAMMAL,CHL,20
THREATENED,MAMMAL,CHL,36
ENDANGERED_IND,MAMMAL,CHL,13
VULNERABLE_IND,MAMMAL,CHL,20
TOT_KNOWN,MAMMAL,EST,65
TOT_KNOWN_IND,MAMMAL,EST,61
ENDANGERED,MAMMAL,EST,1
VULNERABLE,MAMMAL,EST,1
THREATENED,MAMMAL,EST,2
ENDANGERED_IND,MAMMAL,EST,1
VULNERABLE_IND,MAMMAL,EST,1
TOT_KNOWN_IND,MAMMAL,ISR,105
ENDANGERED_IND,MAMMAL,ISR,27
CRITICAL_IND,MAMMAL,ISR,15
VULNERABLE_IND,MAMMAL,ISR,19
TOT_KNOWN,MAMMAL,RUS,320
THREATENED,MAMMAL,RUS,40
TOT_KNOWN,MAMMAL,SVN,89
ENDANGERED,MAMMAL,SVN,19
VULNERABLE,MAMMAL,SVN,15
THREATENED,MAMMAL,SVN,34
ENDANGERED_IND,MAMMAL,SVN,19
VULNERABLE_IND,MAMMAL,SVN,15
TOT_KNOWN,BIRD,AUS,790
ENDANGERED,BIRD,AUS,51
CRITICAL,BIRD,AUS,16
VULNERABLE,BIRD,AUS,66
THREATENED,BIRD,AUS,133
ENDANGERED_IND,BIRD,AUS,51
CRITICAL_IND,BIRD,AUS,16
VULNERABLE_IND,BIRD,AUS,66
TOT_KNOWN,BIRD,AUT,242
TOT_KNOWN_IND,BIRD,AUT,242
ENDANGERED,BIRD,AUT,14
CRITICAL,BIRD,AUT,33
VULNERABLE,BIRD,AUT,19
THREATENED,BIRD,AUT,66
ENDANGERED_IND,BIRD,AUT,14
CRITICAL_IND,BIRD,AUT,33
VULNERABLE_IND,BIRD,AUT,19
TOT_KNOWN,BIRD,BEL,198
TOT_KNOWN_IND,BIRD,BEL,178
ENDANGERED,BIRD,BEL,15
CRITICAL,BIRD,BEL,20
VULNERABLE,BIRD,BEL,20
THREATENED,BIRD,BEL,55
ENDANGERED_IND,BIRD,BEL,15
CRITICAL_IND,BIRD,BEL,20
VULNERABLE_IND,BIRD,BEL,20
TOT_KNOWN,BIRD,CAN,674
TOT_KNOWN_IND,BIRD,CAN,664
ENDANGERED,BIRD,CAN,14
VULNERABLE,BIRD,CAN,48
THREATENED,BIRD,CAN,88
ENDANGERED_IND,BIRD,CAN,14
VULNERABLE_IND,BIRD,CAN,48
TOT_KNOWN,BIRD,CZE,210
TOT_KNOWN_IND,BIRD,CZE,208
ENDANGERED,BIRD,CZE,28
CRITICAL,BIRD,CZE,35
VULNERABLE,BIRD,CZE,36
THREATENED,BIRD,CZE,99
TOT_KNOWN,BIRD,DNK,209
TOT_KNOWN_IND,BIRD,DNK,209
ENDANGERED,BIRD,DNK,13
CRITICAL,BIRD,DNK,8
VULNERABLE,BIRD,DNK,13
THREATENED,BIRD,DNK,34
ENDANGERED_IND,BIRD,DNK,13
CRITICAL_IND,BIRD,DNK,8
VULNERABLE_IND,BIRD,DNK,13
TOT_KNOWN,BIRD,FIN,248
TOT_KNOWN_IND,BIRD,FIN,245
ENDANGERED,BIRD,FIN,36
CRITICAL,BIRD,FIN,13
VULNERABLE,BIRD,FIN,38
THREATENED,BIRD,FIN,87
ENDANGERED_IND,BIRD,FIN,36
CRITICAL_IND,BIRD,FIN,13
VULNERABLE_IND,BIRD,FIN,38
TOT_KNOWN,BIRD,FRA,391
TOT_KNOWN_IND,BIRD,FRA,284
ENDANGERED,BIRD,FRA,33
CRITICAL,BIRD,FRA,16
VULNERABLE,BIRD,FRA,58
THREATENED,BIRD,FRA,107
ENDANGERED_IND,BIRD,FRA,30
VULNERABLE_IND,BIRD,FRA,46
TOT_KNOWN,BIRD,DEU,264
TOT_KNOWN_IND,BIRD,DEU,244
ENDANGERED,BIRD,DEU,24
CRITICAL,BIRD,DEU,30
VULNERABLE,BIRD,DEU,40
THREATENED,BIRD,DEU,94
ENDANGERED_IND,BIRD,DEU,24
CRITICAL_IND,BIRD,DEU,30
VULNERABLE_IND,BIRD,DEU,40
TOT_KNOWN,BIRD,GRC,440
TOT_KNOWN_IND,BIRD,GRC,351
ENDANGERED,BIRD,GRC,17
CRITICAL,BIRD,GRC,14
VULNERABLE,BIRD,GRC,31
THREATENED,BIRD,GRC,62
ENDANGERED_IND,BIRD,GRC,17
CRITICAL_IND,BIRD,GRC,14
