alpha3,SPEC,IUCN,Value
ISR,REPTILE,TOT_KNOWN_IND,105
ISR,REPTILE,ENDANGERED_IND,7
ISR,REPTILE,CRITICAL_IND,13
ISR,REPTILE,VULNERABLE_IND,15
RUS,REPTILE,TOT_KNOWN,75
RUS,REPTILE,THREATENED,9
SVN,REPTILE,TOT_KNOWN,24
SVN,REPTILE,TOT_KNOWN_IND,24
SVN,REPTILE,ENDANGERED,7
SVN,REPTILE,VULNERABLE,11
SVN,REPTILE,THREATENED,18
SVN,REPTILE,ENDANGERED_IND,7
SVN,REPTILE,VULNERABLE_IND,11
AUS,AMPHIBIAN,TOT_KNOWN,242
AUS,AMPHIBIAN,ENDANGERED,14
AUS,AMPHIBIAN,CRITICAL,5
AUS,AMPHIBIAN,VULNERABLE,10
AUS,AMPHIBIAN,THREATENED,29
AUT,AMPHIBIAN,TOT_KNOWN,20
AUT,AMPHIBIAN,TOT_KNOWN_IND,20
AUT,AMPHIBIAN,ENDANGERED,3
AUT,AMPHIBIAN,CRITICAL,1
AUT,AMPHIBIAN,VULNERABLE,8
AUT,AMPHIBIAN,THREATENED,12
AUT,AMPHIBIAN,ENDANGERED_IND,3
AUT,AMPHIBIAN,CRITICAL_IND,1
AUT,AMPHIBIAN,VULNERABLE_IND,8
BEL,AMPHIBIAN,TOT_KNOWN,19
BEL,AMPHIBIAN,TOT_KNOWN_IND,16
BEL,AMPHIBIAN,ENDANGERED,3
BEL,AMPHIBIAN,CRITICAL,3
BEL,AMPHIBIAN,THREATENED,6
BEL,AMPHIBIAN,ENDANGERED_IND,3
BEL,AMPHIBIAN,CRITICAL_IND,3
CAN,AMPHIBIAN,TOT_KNOWN,47
CAN,AMPHIBIAN,TOT_KNOWN_IND,47
CAN,AMPHIBIAN,ENDANGERED,5
CAN,AMPHIBIAN,VULNERABLE,9
CAN,AMPHIBIAN,THREATENED,16
CAN,AMPHIBIAN,ENDANGERED_IND,5
CAN,AMPHIBIAN,VULNERABLE_IND,9
CZE,AMPHIBIAN,TOT_KNOWN,22
CZE,AMPHIBIAN,TOT_KNOWN_IND,21
CZE,AMPHIBIAN,ENDANGERED,5
CZE,AMPHIBIAN,CRITICAL,5
CZE,AMPHIBIAN,VULNERABLE,6
CZE,AMPHIBIAN,THREATENED,16
DNK,AMPHIBIAN,TOT_KNOWN,15
DNK,AMPHIBIAN,TOT_KNOWN_IND,15
DNK,AMPHIBIAN,CRITICAL,1
DNK,AMPHIBIAN,THREATENED,1
DNK,AMPHIBIAN,CRITICAL_IND,1
FIN,AMPHIBIAN,TOT_KNOWN,7
FIN,AMPHIBIAN,TOT_KNOWN_IND,7
FIN,AMPHIBIAN,VULNERABLE,0
FIN,AMPHIBIAN,THREATENED,1
FIN,AMPHIBIAN,VULNERABLE_IND,0
FRA,AMPHIBIAN,TOT_KNOWN,35
FRA,AMPHIBIAN,ENDANGERED,3
FRA,AMPHIBIAN,CRITICAL,0
FRA,AMPHIBIAN,VULNERABLE,5
FRA,AMPHIBIAN,THREATENED,8
DEU,AMPHIBIAN,TOT_KNOWN,22
DEU,AMPHIBIAN,TOT_KNOWN_IND,20
DEU,AMPHIBIAN,ENDANGERED,2
DEU,AMPHIBIAN,VULNERABLE,6
DEU,AMPHIBIAN,THREATENED,8
DEU,AMPHIBIAN,ENDANGERED_IND,2
DEU,AMPHIBIAN,VULNERABLE_IND,6
GRC,AMPHIBIAN,TOT_KNOWN,23
GRC,AMPHIBIAN,TOT_KNOWN_IND,22
GRC,AMPHIBIAN,ENDANGERED,2
GRC,AMPHIBIAN,CRITICAL,1
GRC,AMPHIBIAN,VULNERABLE,3
GRC,AMPHIBIAN,THREATENED,6
GRC,AMPHIBIAN,ENDANGERED_IND,2
GRC,AMPHIBIAN,CRITICAL_IND,1
GRC,AMPHIBIAN,VULNERABLE_IND,3
HUN,AMPHIBIAN,TOT_KNOWN,18
HUN,AMPHIBIAN,TOT_KNOWN_IND,18
HUN,AMPHIBIAN,ENDANGERED,1
HUN,AMPHIBIAN,VULNERABLE,1
HUN,AMPHIBIAN,THREATENED,2
HUN,AMPHIBIAN,ENDANGERED_IND,1
HUN,AMPHIBIAN,VULNERABLE_IND,1
IRL,AMPHIBIAN,TOT_KNOWN,3
IRL,AMPHIBIAN,TOT_KNOWN_IND,3
IRL,AMPHIBIAN,ENDANGERED,1
IRL,AMPHIBIAN,THREATENED,1
IRL,AMPHIBIAN,ENDANGERED_IND,1
ITA,AMPHIBIAN,TOT_KNOWN,44
ITA,AMPHIBIAN,ENDANGERED,4
ITA,AMPHIBIAN,CRITICAL,0
ITA,AMPHIBIAN,VULNERABLE,10
ITA,AMPHIBIAN,THREATENED,14
JPN,AMPHIBIAN,TOT_KNOWN,77
JPN,AMPHIBIAN,ENDANGERED,13
JPN,AMPHIBIAN,CRITICAL,4
JPN,AMPHIBIAN,VULNERABLE,12
JPN,AMPHIBIAN,THREATENED,29
KOR,AMPHIBIAN,TOT_KNOWN,20
KOR,AMPHIBIAN,ENDANGERED,2
KOR,AMPHIBIAN,VULNERABLE,3
KOR,AMPHIBIAN,THREATENED,5
LUX,AMPHIBIAN,TOT_KNOWN,14
LUX,AMPHIBIAN,ENDANGERED,1
LUX,AMPHIBIAN,CRITICAL,2
LUX,AMPHIBIAN,VULNERABLE,1
LUX,AMPHIBIAN,THREATENED,4
MEX,AMPHIBIAN,TOT_KNOWN,399
MEX,AMPHIBIAN,TOT_KNOWN_IND,258
MEX,AMPHIBIAN,ENDANGERED,7
MEX,AMPHIBIAN,CRITICAL,0
MEX,AMPHIBIAN,VULNERABLE,44
MEX,AMPHIBIAN,THREATENED,51
MEX,AMPHIBIAN,ENDANGERED_IND,6
MEX,AMPHIBIAN,CRITICAL_IND,0
MEX,AMPHIBIAN,VULNERABLE_IND,37
NLD,AMPHIBIAN,TOT_KNOWN,16
NLD,AMPHIBIAN,ENDANGERED,2
NLD,AMPHIBIAN,CRITICAL,2
NLD,AMPHIBIAN,VULNERABLE,3
NLD,AMPHIBIAN,THREATENED,7
NZL,AMPHIBIAN,TOT_KNOWN,8
NZL,AMPHIBIAN,TOT_KNOWN_IND,4
NZL,AMPHIBIAN,ENDANGERED_IND,0
NZL,AMPHIBIAN,CRITICAL_IND,0
NZL,AMPHIBIAN,VULNERABLE_IND,1
NOR,AMPHIBIAN,TOT_KNOWN,6
NOR,AMPHIBIAN,TOT_KNOWN_IND,6
NOR,AMPHIBIAN,CRITICAL,1
NOR,AMPHIBIAN,THREATENED,1
NOR,AMPHIBIAN,CRITICAL_IND,1
POL,AMPHIBIAN,TOT_KNOWN,18
POL,AMPHIBIAN,TOT_KNOWN_IND,18
PRT,AMPHIBIAN,TOT_KNOWN,20
PRT,AMPHIBIAN,TOT_KNOWN_IND,17
PRT,AMPHIBIAN,VULNERABLE,2
PRT,AMPHIBIAN,THREATENED,2
PRT,AMPHIBIAN,VULNERABLE_IND,2
SVK,AMPHIBIAN,TOT_KNOWN,18
SVK,AMPHIBIAN,TOT_KNOWN_IND,18
SVK,AMPHIBIAN,ENDANGERED,3
SVK,AMPHIBIAN,VULNERABLE,5
SVK,AMPHIBIAN,THREATENED,8
SVK,AMPHIBIAN,ENDANGERED_IND,3
SVK,AMPHIBIAN,VULNERABLE_IND,5
ESP,AMPHIBIAN,TOT_KNOWN,36
ESP,AMPHIBIAN,ENDANGERED,4
ESP,AMPHIBIAN,CRITICAL,2
ESP,AMPHIBIAN,VULNERABLE,8
ESP,AMPHIBIAN,THREATENED,14
ESP,AMPHIBIAN,ENDANGERED_IND,4
ESP,AMPHIBIAN,CRITICAL_IND,2
ESP,AMPHIBIAN,VULNERABLE_IND,8
SWE,AMPHIBIAN,TOT_KNOWN,13
SWE,AMPHIBIAN,TOT_KNOWN_IND,13
SWE,AMPHIBIAN,ENDANGERED,0
SWE,AMPHIBIAN,VULNERABLE,5
SWE,AMPHIBIAN,THREATENED,5
SWE,AMPHIBIAN,ENDANGERED_IND,0
SWE,AMPHIBIAN,VULNERABLE_IND,5
CHE,AMPHIBIAN,TOT_KNOWN,19
CHE,AMPHIBIAN,TOT_KNOWN_IND,18
CHE,AMPHIBIAN,ENDANGERED,9
CHE,AMPHIBIAN,CRITICAL,0
CHE,AMPHIBIAN,VULNERABLE,4
CHE,AMPHIBIAN,THREATENED,13
CHE,AMPHIBIAN,ENDANGERED_IND,9
CHE,AMPHIBIAN,CRITICAL_IND,0
CHE,AMPHIBIAN,VULNERABLE_IND,4
TUR,AMPHIBIAN,TOT_KNOWN,141
TUR,AMPHIBIAN,THREATENED,10
GBR,AMPHIBIAN,TOT_KNOWN,15
USA,AMPHIBIAN,TOT_KNOWN,270
USA,AMPHIBIAN,TOT_KNOWN_IND,260
USA,AMPHIBIAN,ENDANGERED,36
USA,AMPHIBIAN,CRITICAL,31
USA,AMPHIBIAN,VULNERABLE,42
USA,AMPHIBIAN,THREATENED,109
USA,AMPHIBIAN,ENDANGERED_IND,36
USA,AMPHIBIAN,CRITICAL_IND,31
USA,AMPHIBIAN,VULNERABLE_IND,42
CHL,AMPHIBIAN,TOT_KNOWN,65
CHL,AMPHIBIAN,TOT_KNOWN_IND,64
CHL,AMPHIBIAN,ENDANGERED,23
CHL,AMPHIBIAN,VULNERABLE,11
CHL,AMPHIBIAN,THREATENED,44
CHL,AMPHIBIAN,ENDANGERED_IND,23
CHL,AMPHIBIAN,VULNERABLE_IND,11
EST,AMPHIBIAN,TOT_KNOWN,9
EST,AMPHIBIAN,TOT_KNOWN_IND,8
EST,AMPHIBIAN,ENDANGERED,1
EST,AMPHIBIAN,CRITICAL,1
EST,AMPHIBIAN,VULNERABLE,2
EST,AMPHIBIAN,THREATENED,4
EST,AMPHIBIAN,ENDANGERED_IND,1
EST,AMPHIBIAN,CRITICAL_IND,1
EST,AMPHIBIAN,VULNERABLE_IND,2
RUS,AMPHIBIAN,TOT_KNOWN,27
RUS,AMPHIBIAN,THREATENED,5
SVN,AMPHIBIAN,TOT_KNOWN,21
SVN,AMPHIBIAN,TOT_KNOWN_IND,21
SVN,AMPHIBIAN,ENDANGERED,3
SVN,AMPHIBIAN,VULNERABLE,14
SVN,AMPHIBIAN,THREATENED,17
SVN,AMPHIBIAN,ENDANGERED_IND,3
SVN,AMPHIBIAN,VULNERABLE_IND,14
AUS,VASCULAR_PLANT,TOT_KNOWN,19178
AUS,VASCULAR_PLANT,TOT_KNOWN_IND,17883
AUS,VASCULAR_PLANT,ENDANGERED,527
AUS,VASCULAR_PLANT,CRITICAL,148
AUS,VASCULAR_PLANT,VULNERABLE,587
AUS,VASCULAR_PLANT,THREATENED,1262
AUT,VASCULAR_PLANT,TOT_KNOWN,2950
AUT,VASCULAR_PLANT,TOT_KNOWN_IND,2950
AUT,VASCULAR_PLANT,ENDANGERED,348
AUT,VASCULAR_PLANT,CRITICAL,172
AUT,VASCULAR_PLANT,VULNERABLE,465
AUT,VASCULAR_PLANT,THREATENED,985
AUT,VASCULAR_PLANT,ENDANGERED_IND,348
AUT,VASCULAR_PLANT,CRITICAL_IND,172
AUT,VASCULAR_PLANT,VULNERABLE_IND,465
BEL,VASCULAR_PLANT,TOT_KNOWN,1818
BEL,VASCULAR_PLANT,TOT_KNOWN_IND,1438
BEL,VASCULAR_PLANT,ENDANGERED,107
BEL,VASCULAR_PLANT,CRITICAL,253
BEL,VASCULAR_PLANT,VULNERABLE,63
BEL,VASCULAR_PLANT,THREATENED,423
BEL,VASCULAR_PLANT,ENDANGERED_IND,107
BEL,VASCULAR_PLANT,CRITICAL_IND,253
BEL,VASCULAR_PLANT,VULNERABLE_IND,63
CAN,VASCULAR_PLANT,TOT_KNOWN,5185
CAN,VASCULAR_PLANT,TOT_KNOWN_IND,3870
CAN,VASCULAR_PLANT,ENDANGERED,325
CAN,VASCULAR_PLANT,VULNERABLE,467
CAN,VASCULAR_PLANT,THREATENED,1107
CAN,VASCULAR_PLANT,ENDANGERED_IND,325
CAN,VASCULAR_PLANT,VULNERABLE_IND,467
CZE,VASCULAR_PLANT,TOT_KNOWN,3557
CZE,VASCULAR_PLANT,TOT_KNOWN_IND,2256
CZE,VASCULAR_PLANT,ENDANGERED,412
CZE,VASCULAR_PLANT,CRITICAL,284
CZE,VASCULAR_PLANT,VULNERABLE,212
CZE,VASCULAR_PLANT,THREATENED,908
DNK,VASCULAR_PLANT,TOT_KNOWN,2909
DNK,VASCULAR_PLANT,TOT_KNOWN_IND,1200
DNK,VASCULAR_PLANT,ENDANGERED,36
DNK,VASCULAR_PLANT,CRITICAL,24
DNK,VASCULAR_PLANT,VULNERABLE,57
DNK,VASCULAR_PLANT,THREATENED,117
DNK,VASCULAR_PLANT,ENDANGERED_IND,36
DNK,VASCULAR_PLANT,CRITICAL_IND,24
DNK,VASCULAR_PLANT,VULNERABLE_IND,57
FIN,VASCULAR_PLANT,TOT_KNOWN,1240
FIN,VASCULAR_PLANT,TOT_KNOWN_IND,920
FIN,VASCULAR_PLANT,ENDANGERED,88
FIN,VASCULAR_PLANT,CRITICAL,31
FIN,VASCULAR_PLANT,VULNERABLE,78
FIN,VASCULAR_PLANT,THREATENED,197
FIN,VASCULAR_PLANT,ENDANGERED_IND,88
FIN,VASCULAR_PLANT,CRITICAL_IND,31
FIN,VASCULAR_PLANT,VULNERABLE_IND,78
FRA,VASCULAR_PLANT,TOT_KNOWN,1018
FRA,VASCULAR_PLANT,ENDANGERED,111
FRA,VASCULAR_PLANT,VULNERABLE,368
FRA,VASCULAR_PLANT,THREATENED,528
DEU,VASCULAR_PLANT,TOT_KNOWN,3272
DEU,VASCULAR_PLANT,TOT_KNOWN_IND,2954
DEU,VASCULAR_PLANT,ENDANGERED,273
DEU,VASCULAR_PLANT,CRITICAL,118
DEU,VASCULAR_PLANT,VULNERABLE,505
DEU,VASCULAR_PLANT,THREATENED,896
DEU,VASCULAR_PLANT,ENDANGERED_IND,273
DEU,VASCULAR_PLANT,CRITICAL_IND,118
DEU,VASCULAR_PLANT,VULNERABLE_IND,505
GRC,VASCULAR_PLANT,TOT_KNOWN,5850
GRC,VASCULAR_PLANT,TOT_KNOWN_IND,5700
GRC,VASCULAR_PLANT,ENDANGERED,64
GRC,VASCULAR_PLANT,CRITICAL,17
GRC,VASCULAR_PLANT,VULNERABLE,174
GRC,VASCULAR_PLANT,THREATENED,255
HUN,VASCULAR_PLANT,TOT_KNOWN,2721
HUN,VASCULAR_PLANT,TOT_KNOWN_IND,2433
HUN,VASCULAR_PLANT,ENDANGERED,162
HUN,VASCULAR_PLANT,VULNERABLE,105
HUN,VASCULAR_PLANT,THREATENED,382
HUN,VASCULAR_PLANT,ENDANGERED_IND,162
HUN,VASCULAR_PLANT,VULNERABLE_IND,105
ISL,VASCULAR_PLANT,TOT_KNOWN,438
ISL,VASCULAR_PLANT,THREATENED,52
IRL,VASCULAR_PLANT,TOT_KNOWN,1050
IRL,VASCULAR_PLANT,TOT_KNOWN_IND,1050
IRL,VASCULAR_PLANT,ENDANGERED,25
IRL,VASCULAR_PLANT,CRITICAL,20
IRL,VASCULAR_PLANT,VULNERABLE,56
IRL,VASCULAR_PLANT,THREATENED,101
IRL,VASCULAR_PLANT,ENDANGERED_IND,25
IRL,VASCULAR_PLANT,CRITICAL_IND,20
IRL,VASCULAR_PLANT,VULNERABLE_IND,56
ITA,VASCULAR_PLANT,TOT_KNOWN,8195
ITA,VASCULAR_PLANT,ENDANGERED,149
ITA,VASCULAR_PLANT,CRITICAL,128
ITA,VASCULAR_PLANT,VULNERABLE,276
ITA,VASCULAR_PLANT,THREATENED,553
JPN,VASCULAR_PLANT,TOT_KNOWN,7000
JPN,VASCULAR_PLANT,ENDANGERED,520
JPN,VASCULAR_PLANT,CRITICAL,525
JPN,VASCULAR_PLANT,VULNERABLE,741
JPN,VASCULAR_PLANT,THREATENED,1786
KOR,VASCULAR_PLANT,TOT_KNOWN,4518
KOR,VASCULAR_PLANT,ENDANGERED,86
KOR,VASCULAR_PLANT,CRITICAL,28
KOR,VASCULAR_PLANT,VULNERABLE,110
KOR,VASCULAR_PLANT,THREATENED,224
LUX,VASCULAR_PLANT,TOT_KNOWN,1323
LUX,VASCULAR_PLANT,TOT_KNOWN_IND,1205
LUX,VASCULAR_PLANT,ENDANGERED,124
LUX,VASCULAR_PLANT,CRITICAL,121
LUX,VASCULAR_PLANT,VULNERABLE,109
LUX,VASCULAR_PLANT,THREATENED,354
LUX,VASCULAR_PLANT,ENDANGERED_IND,124
LUX,VASCULAR_PLANT,CRITICAL_IND,121
LUX,VASCULAR_PLANT,VULNERABLE_IND,109
MEX,VASCULAR_PLANT,TOT_KNOWN,23296
MEX,VASCULAR_PLANT,TOT_KNOWN_IND,11551
MEX,VASCULAR_PLANT,ENDANGERED,175
MEX,VASCULAR_PLANT,CRITICAL,6
MEX,VASCULAR_PLANT,VULNERABLE,329
MEX,VASCULAR_PLANT,THREATENED,510
MEX,VASCULAR_PLANT,ENDANGERED_IND,105
MEX,VASCULAR_PLANT,CRITICAL_IND,5
MEX,VASCULAR_PLANT,VULNERABLE_IND,165
NLD,VASCULAR_PLANT,TOT_KNOWN,1395
NLD,VASCULAR_PLANT,ENDANGERED,117
NLD,VASCULAR_PLANT,CRITICAL,71
NLD,VASCULAR_PLANT,VULNERABLE,168
NLD,VASCULAR_PLANT,THREATENED,356
NZL,VASCULAR_PLANT,TOT_KNOWN,5038
NZL,VASCULAR_PLANT,TOT_KNOWN_IND,2485
NZL,VASCULAR_PLANT,ENDANGERED_IND,64
NZL,VASCULAR_PLANT,CRITICAL_IND,163
NZL,VASCULAR_PLANT,VULNERABLE_IND,101
NOR,VASCULAR_PLANT,TOT_KNOWN,3243
NOR,VASCULAR_PLANT,TOT_KNOWN_IND,1357
NOR,VASCULAR_PLANT,ENDANGERED,100
NOR,VASCULAR_PLANT,CRITICAL,35
NOR,VASCULAR_PLANT,VULNERABLE,111
NOR,VASCULAR_PLANT,THREATENED,246
NOR,VASCULAR_PLANT,ENDANGERED_IND,100
NOR,VASCULAR_PLANT,CRITICAL_IND,35
NOR,VASCULAR_PLANT,VULNERABLE_IND,111
POL,VASCULAR_PLANT,TOT_KNOWN,3087
POL,VASCULAR_PLANT,TOT_KNOWN_IND,2534
POL,VASCULAR_PLANT,ENDANGERED,139
POL,VASCULAR_PLANT,CRITICAL,123
POL,VASCULAR_PLANT,VULNERABLE,226
POL,VASCULAR_PLANT,THREATENED,488
POL,VASCULAR_PLANT,ENDANGERED_IND,123
POL,VASCULAR_PLANT,CRITICAL_IND,110
POL,VASCULAR_PLANT,VULNERABLE_IND,195
PRT,VASCULAR_PLANT,TOT_KNOWN,3607
PRT,VASCULAR_PLANT,TOT_KNOWN_IND,2927
SVK,VASCULAR_PLANT,TOT_KNOWN,3619
SVK,VASCULAR_PLANT,ENDANGERED,171
SVK,VASCULAR_PLANT,CRITICAL,155
SVK,VASCULAR_PLANT,VULNERABLE,201
SVK,VASCULAR_PLANT,THREATENED,527
ESP,VASCULAR_PLANT,TOT_KNOWN,7066
ESP,VASCULAR_PLANT,ENDANGERED,278
ESP,VASCULAR_PLANT,CRITICAL,271
ESP,VASCULAR_PLANT,VULNERABLE,714
ESP,VASCULAR_PLANT,THREATENED,1263
ESP,VASCULAR_PLANT,ENDANGERED_IND,278
ESP,VASCULAR_PLANT,CRITICAL_IND,271
ESP,VASCULAR_PLANT,VULNERABLE_IND,714
SWE,VASCULAR_PLANT,TOT_KNOWN,1561
SWE,VASCULAR_PLANT,TOT_KNOWN_IND,1561
SWE,VASCULAR_PLANT,ENDANGERED,114
SWE,VASCULAR_PLANT,CRITICAL,43
SWE,VASCULAR_PLANT,VULNERABLE,113
SWE,VASCULAR_PLANT,THREATENED,270
CHE,VASCULAR_PLANT,TOT_KNOWN,2613
CHE,VASCULAR_PLANT,TOT_KNOWN_IND,2613
CHE,VASCULAR_PLANT,ENDANGERED,197
CHE,VASCULAR_PLANT,CRITICAL,111
CHE,VASCULAR_PLANT,VULNERABLE,362
CHE,VASCULAR_PLANT,THREATENED,670
CHE,VASCULAR_PLANT,ENDANGERED_IND,197
CHE,VASCULAR_PLANT,CRITICAL_IND,111
CHE,VASCULAR_PLANT,VULNERABLE_IND,362
TUR,VASCULAR_PLANT,TOT_KNOWN,11707
TUR,VASCULAR_PLANT,THREATENED,1282
GBR,VASCULAR_PLANT,TOT_KNOWN,4562
GBR,VASCULAR_PLANT,ENDANGERED,240
GBR,VASCULAR_PLANT,CRITICAL,104
GBR,VASCULAR_PLANT,VULNERABLE,482
GBR,VASCULAR_PLANT,THREATENED,826
GBR,VASCULAR_PLANT,ENDANGERED_IND,240
GBR,VASCULAR_PLANT,CRITICAL_IND,104
GBR,VASCULAR_PLANT,VULNERABLE_IND,482
USA,VASCULAR_PLANT,TOT_KNOWN,19569
USA,VASCULAR_PLANT,TOT_KNOWN_IND,16279
USA,VASCULAR_PLANT,ENDANGERED,1462
USA,VASCULAR_PLANT,CRITICAL,1222
USA,VASCULAR_PLANT,VULNERABLE,2691
USA,VASCULAR_PLANT,THREATENED,5375
USA,VASCULAR_PLANT,ENDANGERED_IND,1461
USA,VASCULAR_PLANT,CRITICAL_IND,1221
USA,VASCULAR_PLANT,VULNERABLE_IND,2684
CHL,VASCULAR_PLANT,ENDANGERED,195
CHL,VASCULAR_PLANT,VULNERABLE,152
CHL,VASCULAR_PLANT,THREATENED,418
CHL,VASCULAR_PLANT,ENDANGERED_IND,195
CHL,VASCULAR_PLANT,VULNERABLE_IND,152
EST,VASCULAR_PLANT,TOT_KNOWN,1928
EST,VASCULAR_PLANT,TOT_KNOWN_IND,1335
EST,VASCULAR_PLANT,ENDANGERED,59
EST,VASCULAR_PLANT,CRITICAL,31
EST,VASCULAR_PLANT,VULNERABLE,91
EST,VASCULAR_PLANT,THREATENED,181
EST,VASCULAR_PLANT,ENDANGERED_IND,57
EST,VASCULAR_PLANT,CRITICAL_IND,31
EST,VASCULAR_PLANT,VULNERABLE_IND,90
ISR,VASCULAR_PLANT,TOT_KNOWN_IND,2288
ISR,VASCULAR_PLANT,ENDANGERED_IND,117
ISR,VASCULAR_PLANT,CRITICAL_IND,62
ISR,VASCULAR_PLANT,VULNERABLE_IND,198
RUS,VASCULAR_PLANT,TOT_KNOWN,11400
RUS,VASCULAR_PLANT,THREATENED,201
SVN,VASCULAR_PLANT,TOT_KNOWN,3452
SVN,VASCULAR_PLANT,TOT_KNOWN_IND,3119
SVN,VASCULAR_PLANT,ENDANGERED,80
SVN,VASCULAR_PLANT,VULNERABLE,254
SVN,VASCULAR_PLANT,THREATENED,334
SVN,VASCULAR_PLANT,ENDANGERED_IND,80
SVN,VASCULAR_PLANT,VULNERABLE_IND,254
AUS,FISH_TOT,TOT_KNOWN,5203
AUS,FISH_TOT,ENDANGERED,16
AUS,MARINE_F,ENDANGERED,2
AUS,FRESHW_F,ENDANGERED,14
AUS,FISH_TOT,CRITICAL,8
AUS,MARINE_F,CRITICAL,3
AUS,FRESHW_F,CRITICAL,5
AUS,FISH_TOT,VULNERABLE,24
AUS,MARINE_F,VULNERABLE,8
AUS,FRESHW_F,VULNERABLE,16
AUS,FISH_TOT,THREATENED,48
AUS,MARINE_F,THREATENED,13
AUS,FRESHW_F,THREATENED,35
AUS,MAMMAL,THREAT_PERCENT,27.114
AUS,BIRD,THREAT_PERCENT,16.835
AUS,REPTILE,THREAT_PERCENT,5.951
AUS,AMPHIBIAN,THREAT_PERCENT,11.983
AUS,VASCULAR_PLANT,THREAT_PERCENT,6.58
AUS,FISH_TOT,THREAT_PERCENT,0.923
AUT,FISH_TOT,TOT_KNOWN,84
AUT,FRESHW_F,TOT_KNOWN,84
AUT,FISH_TOT,TOT_KNOWN_IND,84
AUT,FRESHW_F,TOT_KNOWN_IND,84
AUT,FISH_TOT,ENDANGERED,18
AUT,FRESHW_F,ENDANGERED,18
AUT,FISH_TOT,CRITICAL,6
AUT,FRESHW_F,CRITICAL,6
AUT,FISH_TOT,VULNERABLE,15
AUT,FRESHW_F,VULNERABLE,15
AUT,FISH_TOT,THREATENED,39
AUT,FRESHW_F,THREATENED,39
AUT,FISH_TOT,ENDANGERED_IND,18
AUT,FRESHW_F,ENDANGERED_IND,18
AUT,FISH_TOT,CRITICAL_IND,6
AUT,FRESHW_F,CRITICAL_IND,6
AUT,FISH_TOT,VULNERABLE_IND,15
AUT,FRESHW_F,VULNERABLE_IND,15
AUT,MAMMAL,THREATENED_IND,27
AUT,BIRD,THREATENED_IND,66
AUT,REPTILE,THREATENED_IND,9
AUT,AMPHIBIAN,THREATENED_IND,12
AUT,VASCULAR_PLANT,THREATENED_IND,985
AUT,FISH_TOT,THREATENED_IND,39
AUT,FRESHW_F,THREATENED_IND,39
AUT,MAMMAL,THREAT_PERCENT,26.733
AUT,BIRD,THREAT_PERCENT,27.273
AUT,REPTILE,THREAT_PERCENT,64.286
AUT,AMPHIBIAN,THREAT_PERCENT,60
AUT,VASCULAR_PLANT,THREAT_PERCENT,33.39
AUT,FISH_TOT,THREAT_PERCENT,46.429
AUT,FRESHW_F,THREAT_PERCENT,46.429
AUT,MAMMAL,IND_PERCENT,26.733
AUT,BIRD,IND_PERCENT,27.273
AUT,REPTILE,IND_PERCENT,64.286
AUT,AMPHIBIAN,IND_PERCENT,60
AUT,VASCULAR_PLANT,IND_PERCENT,33.39
AUT,FISH_TOT,IND_PERCENT,46.429
AUT,FRESHW_F,IND_PERCENT,46.429
BEL,FISH_TOT,TOT_KNOWN,142
BEL,MARINE_F,TOT_KNOWN,99
BEL,FRESHW_F,TOT_KNOWN,43
BEL,FISH_TOT,TOT_KNOWN_IND,123
BEL,MARINE_F,TOT_KNOWN_IND,99
BEL,FRESHW_F,TOT_KNOWN_IND,24
BEL,FISH_TOT,ENDANGERED,4
BEL,MARINE_F,ENDANGERED,3
BEL,FRESHW_F,ENDANGERED,1
BEL,FISH_TOT,CRITICAL,3
BEL,MARINE_F,CRITICAL,2
BEL,FRESHW_F,CRITICAL,1
BEL,FISH_TOT,VULNERABLE,22
BEL,MARINE_F,VULNERABLE,9
BEL,FRESHW_F,VULNERABLE,13
BEL,FISH_TOT,THREATENED,29
BEL,MARINE_F,THREATENED,14
BEL,FRESHW_F,THREATENED,15
BEL,FISH_TOT,ENDANGERED_IND,4
BEL,MARINE_F,ENDANGERED_IND,3
BEL,FRESHW_F,ENDANGERED_IND,1
BEL,FISH_TOT,CRITICAL_IND,3
BEL,MARINE_F,CRITICAL_IND,2
BEL,FRESHW_F,CRITICAL_IND,1
BEL,FISH_TOT,VULNERABLE_IND,22
BEL,MARINE_F,VULNERABLE_IND,9
BEL,FRESHW_F,VULNERABLE_IND,13
BEL,MAMMAL,THREATENED_IND,18
BEL,BIRD,THREATENED_IND,55
BEL,REPTILE,THREATENED_IND,4
BEL,AMPHIBIAN,THREATENED_IND,6
BEL,VASCULAR_PLANT,THREATENED_IND,423
BEL,FISH_TOT,THREATENED_IND,29
BEL,MARINE_F,THREATENED_IND,14
BEL,FRESHW_F,THREATENED_IND,15
BEL,MAMMAL,THREAT_PERCENT,21.429
BEL,BIRD,THREAT_PERCENT,27.778
BEL,REPTILE,THREAT_PERCENT,40
BEL,AMPHIBIAN,THREAT_PERCENT,31.579
BEL,VASCULAR_PLANT,THREAT_PERCENT,23.267
BEL,FISH_TOT,THREAT_PERCENT,20.423
BEL,MARINE_F,THREAT_PERCENT,14.141
BEL,FRESHW_F,THREAT_PERCENT,34.884
BEL,MAMMAL,IND_PERCENT,27.692
BEL,BIRD,IND_PERCENT,30.899
BEL,REPTILE,IND_PERCENT,57.143
BEL,AMPHIBIAN,IND_PERCENT,37.5
BEL,VASCULAR_PLANT,IND_PERCENT,29.416
BEL,FISH_TOT,IND_PERCENT,23.577
