alpha3,SPEC,IUCN,Value
PRT,MAMMAL,CRITICAL,11
PRT,MAMMAL,VULNERABLE,13
PRT,MAMMAL,THREATENED,31
PRT,MAMMAL,ENDANGERED_IND,7
PRT,MAMMAL,CRITICAL_IND,11
PRT,MAMMAL,VULNERABLE_IND,13
SVK,MAMMAL,TOT_KNOWN,90
SVK,MAMMAL,TOT_KNOWN_IND,85
SVK,MAMMAL,ENDANGERED,6
SVK,MAMMAL,CRITICAL,2
SVK,MAMMAL,VULNERABLE,12
SVK,MAMMAL,THREATENED,20
SVK,MAMMAL,ENDANGERED_IND,6
SVK,MAMMAL,CRITICAL_IND,2
SVK,MAMMAL,VULNERABLE_IND,12
ESP,MAMMAL,TOT_KNOWN,114
ESP,MAMMAL,ENDANGERED,4
ESP,MAMMAL,CRITICAL,2
ESP,MAMMAL,VULNERABLE,13
ESP,MAMMAL,THREATENED,19
ESP,MAMMAL,ENDANGERED_IND,4
ESP,MAMMAL,CRITICAL_IND,2
ESP,MAMMAL,VULNERABLE_IND,13
SWE,MAMMAL,TOT_KNOWN,65
SWE,MAMMAL,TOT_KNOWN_IND,65
SWE,MAMMAL,ENDANGERED,3
SWE,MAMMAL,CRITICAL,5
SWE,MAMMAL,VULNERABLE,6
SWE,MAMMAL,THREATENED,14
SWE,MAMMAL,ENDANGERED_IND,3
SWE,MAMMAL,CRITICAL_IND,5
SWE,MAMMAL,VULNERABLE_IND,6
CHE,MAMMAL,TOT_KNOWN,93
CHE,MAMMAL,TOT_KNOWN_IND,81
CHE,MAMMAL,ENDANGERED,13
CHE,MAMMAL,CRITICAL,5
CHE,MAMMAL,VULNERABLE,16
CHE,MAMMAL,THREATENED,34
CHE,MAMMAL,ENDANGERED_IND,13
CHE,MAMMAL,CRITICAL_IND,5
CHE,MAMMAL,VULNERABLE_IND,16
TUR,MAMMAL,TOT_KNOWN,161
TUR,MAMMAL,THREATENED,23
GBR,MAMMAL,TOT_KNOWN,99
GBR,MAMMAL,ENDANGERED,4
GBR,MAMMAL,CRITICAL,2
GBR,MAMMAL,VULNERABLE,5
GBR,MAMMAL,THREATENED,11
GBR,MAMMAL,ENDANGERED_IND,4
GBR,MAMMAL,CRITICAL_IND,2
GBR,MAMMAL,VULNERABLE_IND,5
USA,MAMMAL,TOT_KNOWN,453
USA,MAMMAL,TOT_KNOWN_IND,428
USA,MAMMAL,ENDANGERED,16
USA,MAMMAL,CRITICAL,13
USA,MAMMAL,VULNERABLE,49
USA,MAMMAL,THREATENED,78
USA,MAMMAL,ENDANGERED_IND,16
USA,MAMMAL,CRITICAL_IND,13
USA,MAMMAL,VULNERABLE_IND,47
CHL,MAMMAL,TOT_KNOWN,175
CHL,MAMMAL,TOT_KNOWN_IND,162
CHL,MAMMAL,ENDANGERED,13
CHL,MAMMAL,VULNERABLE,20
CHL,MAMMAL,THREATENED,36
CHL,MAMMAL,ENDANGERED_IND,13
CHL,MAMMAL,VULNERABLE_IND,20
EST,MAMMAL,TOT_KNOWN,65
EST,MAMMAL,TOT_KNOWN_IND,61
EST,MAMMAL,ENDANGERED,1
EST,MAMMAL,VULNERABLE,1
EST,MAMMAL,THREATENED,2
EST,MAMMAL,ENDANGERED_IND,1
EST,MAMMAL,VULNERABLE_IND,1
ISR,MAMMAL,TOT_KNOWN_IND,105
ISR,MAMMAL,ENDANGERED_IND,27
ISR,MAMMAL,CRITICAL_IND,15
ISR,MAMMAL,VULNERABLE_IND,19
RUS,MAMMAL,TOT_KNOWN,320
RUS,MAMMAL,THREATENED,40
SVN,MAMMAL,TOT_KNOWN,89
SVN,MAMMAL,ENDANGERED,19
SVN,MAMMAL,VULNERABLE,15
SVN,MAMMAL,THREATENED,34
SVN,MAMMAL,ENDANGERED_IND,19
SVN,MAMMAL,VULNERABLE_IND,15
AUS,BIRD,TOT_KNOWN,790
AUS,BIRD,ENDANGERED,51
AUS,BIRD,CRITICAL,16
AUS,BIRD,VULNERABLE,66
AUS,BIRD,THREATENED,133
AUS,BIRD,ENDANGERED_IND,51
AUS,BIRD,CRITICAL_IND,16
AUS,BIRD,VULNERABLE_IND,66
AUT,BIRD,TOT_KNOWN,242
AUT,BIRD,TOT_KNOWN_IND,242
AUT,BIRD,ENDANGERED,14
AUT,BIRD,CRITICAL,33
AUT,BIRD,VULNERABLE,19
AUT,BIRD,THREATENED,66
AUT,BIRD,ENDANGERED_IND,14
AUT,BIRD,CRITICAL_IND,33
AUT,BIRD,VULNERABLE_IND,19
BEL,BIRD,TOT_KNOWN,198
BEL,BIRD,TOT_KNOWN_IND,178
BEL,BIRD,ENDANGERED,15
BEL,BIRD,CRITICAL,20
BEL,BIRD,VULNERABLE,20
BEL,BIRD,THREATENED,55
BEL,BIRD,ENDANGERED_IND,15
BEL,BIRD,CRITICAL_IND,20
BEL,BIRD,VULNERABLE_IND,20
CAN,BIRD,TOT_KNOWN,674
CAN,BIRD,TOT_KNOWN_IND,664
CAN,BIRD,ENDANGERED,14
CAN,BIRD,VULNERABLE,48
CAN,BIRD,THREATENED,88
CAN,BIRD,ENDANGERED_IND,14
CAN,BIRD,VULNERABLE_IND,48
CZE,BIRD,TOT_KNOWN,210
CZE,BIRD,TOT_KNOWN_IND,208
CZE,BIRD,ENDANGERED,28
CZE,BIRD,CRITICAL,35
CZE,BIRD,VULNERABLE,36
CZE,BIRD,THREATENED,99
DNK,BIRD,TOT_KNOWN,209
DNK,BIRD,TOT_KNOWN_IND,209
DNK,BIRD,ENDANGERED,13
DNK,BIRD,CRITICAL,8
DNK,BIRD,VULNERABLE,13
DNK,BIRD,THREATENED,34
DNK,BIRD,ENDANGERED_IND,13
DNK,BIRD,CRITICAL_IND,8
DNK,BIRD,VULNERABLE_IND,13
FIN,BIRD,TOT_KNOWN,248
FIN,BIRD,TOT_KNOWN_IND,245
FIN,BIRD,ENDANGERED,36
FIN,BIRD,CRITICAL,13
FIN,BIRD,VULNERABLE,38
FIN,BIRD,THREATENED,87
FIN,BIRD,ENDANGERED_IND,36
FIN,BIRD,CRITICAL_IND,13
FIN,BIRD,VULNERABLE_IND,38
FRA,BIRD,TOT_KNOWN,391
FRA,BIRD,TOT_KNOWN_IND,284
FRA,BIRD,ENDANGERED,33
FRA,BIRD,CRITICAL,16
FRA,BIRD,VULNERABLE,58
FRA,BIRD,THREATENED,107
FRA,BIRD,ENDANGERED_IND,30
FRA,BIRD,VULNERABLE_IND,46
DEU,BIRD,TOT_KNOWN,264
